index	name	color
1	HIP-head-m-rh	#0088ee
2	HIP-head-l-rh	#0077dd
3	HIP-body-rh	#0066cc
4	HIP-tail-rh	#0055bb
5	THA-VPm-rh	#1e7a1e
6	THA-VPl-rh	#258f25
7	THA-VAi-rh	#2ca42c
8	THA-VAs-rh	#33b933
9	THA-DAm-rh	#3ace3a
10	THA-DAl-rh	#41e341
11	PUT-VA-rh	#00cccc
12	PUT-DA-rh	#00bbbb
13	PUT-VP-rh	#00aaaa
14	PUT-DP-rh	#009999
15	CAU-VA-rh	#eec800
16	CAU-DA-rh	#ddbb00
17	CAU-body-rh	#ccaa00
18	CAU-tail-rh	#bb9900
19	lAMY-rh	#dd4444
20	mAMY-rh	#bb2222
21	THA-DP-rh	#176517
22	NAc-shell-rh	#aa44dd
23	NAc-core-rh	#8822bb
24	pGP-rh	#ee7700
25	aGP-rh	#ff9922
26	HIP-head-m-lh	#0088ee
27	HIP-head-l-lh	#0077dd
28	HIP-body-lh	#0066cc
29	HIP-tail-lh	#0055bb
30	THA-VPm-lh	#1e7a1e
31	THA-VPl-lh	#258f25
32	THA-VAi-lh	#2ca42c
33	THA-VAs-lh	#33b933
34	THA-DAm-lh	#3ace3a
35	THA-DAl-lh	#41e341
36	PUT-VA-lh	#00cccc
37	PUT-DA-lh	#00bbbb
38	PUT-VP-lh	#00aaaa
39	PUT-DP-lh	#009999
40	CAU-VA-lh	#eec800
41	CAU-DA-lh	#ddbb00
42	CAU-body-lh	#ccaa00
43	CAU-tail-lh	#bb9900
44	lAMY-lh	#dd4444
45	mAMY-lh	#bb2222
46	THA-DP-lh	#176517
47	NAc-shell-lh	#aa44dd
48	NAc-core-lh	#8822bb
49	pGP-lh	#ee7700
50	aGP-lh	#ff9922
