indexname
1154	R_VMV3
1155	R_PHA2
1156	R_V4t
1157	R_FST
1158	R_V3CD
1159	R_LO3
1160	R_VMV2
1161	R_31pd
1162	R_31a
1163	R_VVC
1164	R_25
1165	R_s32
1166	R_pOFC
1167	R_PoI1
1168	R_Ig
1169	R_FOP5
1170	R_p10p
1171	R_p47r
1172	R_TGv
1173	R_MBelt
1174	R_LBelt
1175	R_A4
1176	R_STSva
1177	R_TE1m
1178	R_PI
1179	R_a32pr
1180	R_p24
