index	name	color
1	HIP-head-m1-rh	#0099ff
2	HIP-head-m2-rh	#0088ee
3	THA-VAip-rh	#2ca42c
4	THA-VAia-rh	#31af31
5	HIP-head-l-rh	#0077dd
6	HIP-body-rh	#0066cc
7	HIP-tail-rh	#0055bb
8	THA-VPm-rh	#1e7a1e
9	THA-VPl-rh	#238f23
10	THA-VAs-rh	#36ba36
11	THA-DAm-rh	#3bce3b
12	THA-DAl-rh	#40e240
13	PUT-VA-rh	#00cccc
14	PUT-DA-rh	#00bbbb
15	PUT-VP-rh	#00aaaa
16	PUT-DP-rh	#009999
17	CAU-VA-rh	#eec800
18	CAU-DA-rh	#ddbb00
19	CAU-body-rh	#ccaa00
20	CAU-tail-rh	#bb9900
21	lAMY-rh	#dd4444
22	mAMY-rh	#bb2222
23	THA-DP-rh	#176517
24	NAc-shell-rh	#aa44dd
25	NAc-core-rh	#8822bb
26	pGP-rh	#ee7700
27	aGP-rh	#ff9922
28	HIP-head-m1-lh	#0099ff
29	HIP-head-m2-lh	#0088ee
30	THA-VAip-lh	#2ca42c
31	THA-VAia-lh	#31af31
32	HIP-head-l-lh	#0077dd
33	HIP-body-lh	#0066cc
34	HIP-tail-lh	#0055bb
35	THA-VPm-lh	#1e7a1e
36	THA-VPl-lh	#238f23
37	THA-VAs-lh	#36ba36
38	THA-DAm-lh	#3bce3b
39	THA-DAl-lh	#40e240
40	PUT-VA-lh	#00cccc
41	PUT-DA-lh	#00bbbb
42	PUT-VP-lh	#00aaaa
43	PUT-DP-lh	#009999
44	CAU-VA-lh	#eec800
45	CAU-DA-lh	#ddbb00
46	CAU-body-lh	#ccaa00
47	CAU-tail-lh	#bb9900
48	lAMY-lh	#dd4444
49	mAMY-lh	#bb2222
50	THA-DP-lh	#176517
51	NAc-shell-lh	#aa44dd
52	NAc-core-lh	#8822bb
53	pGP-lh	#ee7700
54	aGP-lh	#ff9922
